Author,Doha,Charan_1_Matras,Charan_2_Matras,Charan_3_Matras,Charan_4_Matras,Total_Matras,Is_Valid_48
रसलीन,"मोर पच्छ जो सिर चढ़ै, बारन तें अधिकाय। | सहस चखन लखि धनि कचन, परे मान छिन पाय ॥",13,11,13,11,48,Yes
रसलीन,बेनी बधि इक ठौर ह्वै अहि सम राखत ठौर। | बिथुरि चँवरि से कच करत मन बिथोरि धरि चौंर ॥,24,24,0,0,48,Yes
रसलीन,जे हरि रह त्रिलोक मों कालीनाथ कहाइ। | ते तुव बेनी के डसे सब जग हँसे बनाइ ॥,23,24,0,0,47,No
रसलीन,भनत न कैसैहू बनै या बेनी को दाय। | तुव पीछे गहि जगत के पीछे परी बनाय ॥,24,24,0,0,48,Yes
रसलीन,मानिक मनि ये नहिं जरे मैमद झबियन लाय। | फनि तजि मनि पीछे परे तुव बैनी के आय ॥,25,24,0,0,49,No
रसलीन,मैमद झबियन मुकुत लखि यह आयो जिय जागि। | सखि हित पीछे राहु के नखत रहे हैं लागि ॥,24,24,0,0,48,Yes
रसलीन,चंदमुखी जूरो चितै चित लीन्हों पहिचानि। | सीस उठायौ है तिमिर ससि कौं पीछे जानि ॥,24,24,0,0,48,Yes
रसलीन,यो बाँधति जूरो तिया पटियन को चिकनाय। | पाग चिकनिया सीस की यातें रही लजाय ॥,24,24,0,0,48,Yes
रसलीन,माँग लगी ते बधिक तिय पाटी टाटी ओट। | दोऊ दृग पच्छीन को हनत एक ही चोट ॥,24,24,0,0,48,Yes
रसलीन,अरुन माँग पटिया नहीं मदन जगत को मारि। | असित फरी पै लै धरो रकत भरी तरवारि ॥,24,24,0,0,48,Yes
रसलीन,निजगुन जंत्र दिखाय के तिय हमेल हिय पाय। | कलिजुग साधन रीति गल डारत जेल बनाय ॥,24,24,0,0,48,Yes
रसलीन,चलत हलत नित बाह तुव देत कोटि जिय दान। | याही ते सब कहत है सुधा लहर परिमान ॥,24,24,0,0,48,Yes
रसलीन,सुधा लहर तुब बांह के कैसे होत समान। | वा चखि पैयत प्रान को या लखि  पैयत प्रान ॥,24,24,0,0,48,Yes
रसलीन,कित दिखाइ कामिनि दई दामिनि की यह बांह। | तरफरात सीतन फिरै फरफरात धन मांह ॥,24,24,0,0,48,Yes
रसलीन,छाई चख भाई हिया ल्याई चित को चाय। | भाई आई भुजन पै सांई क्यों न लुभाय ॥,24,24,0,0,48,Yes
रसलीन,लालन के मन दृगन को रही चोप यह आन। | पहुँची बन पहुँची कहूँ प्यारी के पहुचान ॥,24,24,0,0,48,Yes
रसलीन,अंगुरी दिपति मरीचिका चंद हथेरिन साथ। | तम सौतिन जिनि ठेलि पिय पिय चकोर किय हाथ ॥,25,24,0,0,49,No
रसलीन,मोहन सोषन बसिकरन उनमादन उचटाय। | मदन सरन गुन तरुनि कर अंगुरिन लयो छिनाय ॥,24,25,0,0,49,No
रसलीन,तिय प्रति अंगुरिन फलन मैं त्रयत्रय पोर सुहाय। | तीन लोक बसकरन को बीज बये हैं आय ॥,26,24,0,0,50,No
रसलीन,यों अंगुरी तिय करन की लागत नखन समेत। | औषधीस गुन अमिय मनु जीवन मूरिन देत ॥,25,24,0,0,49,No
रसलीन,बारह मंगल रास गुनि सोई सब मिलि आय। | उभय हथेरिन दस नखन मेहदी भई बनाय ॥,24,25,0,0,49,No
रसलीन,दिपति हंथेरिन की दिपति यो मेंहदी के संग। | लाली सावन सांझ में ज्यों सूरज के रंग ॥,26,24,0,0,50,No
रसलीन,यों मेंहदी रंग में लसत नखन झलक रसलीन। | मानों लाल चुनीन तर दीन्हों डाक नवीन ॥,26,24,0,0,50,No
रसलीन,सुबरन बाजूबंदजुत बांह लसत अहिं भाय। | मनु दामिनि पै चाइके नखत बसे हैं आय ॥,25,24,0,0,49,No
रसलीन,यों बजुबंद की छबि लसी छबियन फूंदन घोर। | मानों झूमत हैं छके अमी कमल तर भोर ॥,25,24,0,0,49,No
रसलीन,बसुधा में भुज टार की उपमा बुधान चेत। | बाल सुधाकर सुधाधर सुधा लहर सो लेत ॥,24,24,0,0,48,Yes
रसलीन,रंग बिरंग चूरीनहीं लखि रवि कंकन भेख। | हरि सन बिनय बली मनों कर परसन परवेख ॥,25,24,0,0,49,No
रसलीन,तुव गजरन के फुंदना मनिगन की दुति पाय। | चित चोरत है जगत को अनगन दीप जराय ॥,24,24,0,0,48,Yes
रसलीन,जड़ित आरसी कीर्तिका सोहत अंगुठा साथ। | छले नखत जे अवर तें छले बने हैं हाथ ॥,25,24,0,0,49,No
रसलीन,मुकुत जरी कर आरसी तामें मुख की छांह। | यो लागत मानो ससी उड़गन मंडल मांह ॥,24,24,0,0,48,Yes
