poet_name,kavita_name,kavita_text,kavita_url
अंकित काव्यांश,"ओ मन्दिर के शंख, घण्टियों / अंकित काव्यांश","ओ मन्दिर के शंख, घण्टियों तुम तो बहुत पास रहते हो,सच बतलाना क्या पत्थर का ही केवल ईश्वर रहता है?मुझे मिली अधिकांशप्रार्थनाएँ चीखों सँग सीढ़ी पर ही।अनगिन बारथूकती थीं वे हम सबकी इस पीढ़ी पर ही।ओ मन्दिर के पावन दीपक तुम तो बहुत ताप सहते हो,पता लगाना क्या वह ईश्वर भी इतनी मुश्किल सहता है?भजन उपेक्षितहो भी जाएं फिर भी रोज सुने जाएंगे।लेकिन चीखेंसुनने वाला ध्यान कहाँ से हम लाएंगे?ओ मन्दिर के सुमन सुना है ईश्वर को पत्थर कहते हो!लेकिन मेरा मन जाने क्यों दुनिया को पत्थर कहता है?","https://kavitakosh.org/kk/%E0%A4%93_%E0%A4%AE%E0%A4%A8%E0%A5%8D%E0%A4%A6%E0%A4%BF%E0%A4%B0_%E0%A4%95%E0%A5%87_%E0%A4%B6%E0%A4%82%E0%A4%96,_%E0%A4%98%E0%A4%A3%E0%A5%8D%E0%A4%9F%E0%A4%BF%E0%A4%AF%E0%A5%8B%E0%A4%82_/_%E0%A4%85%E0%A4%82%E0%A4%95%E0%A4%BF%E0%A4%A4_%E0%A4%95%E0%A4%BE%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%82%E0%A4%B6"
अंकित काव्यांश,अभिलाषाओं के दिवास्वप्न / अंकित काव्यांश,अभिलाषाओं केदिवास्वप्न पलकों पर बोझ हुए जातेफिर भी जीवन के चौसर पर साँसों की बाज़ी जारी है।हारा जीताजीता हारा मन सम्मोहन का अनुयायी।हालाँकि लगायह बार बार सब कुछ पानी में परछाई।हर व्यक्तिडूबता जाता है परछाई को छूते छूतेफिर भी काया नौका हमने भँवरों के बीच उतारी है।जो कुछलिख गया कुंडली में वह टाले कभी नहीं टलता।जलता हैअहंकार सबका सोने का नगर नहीं जलता।हम रोजजीतते हैं कलिंग हम रोज बुद्ध हो जाते हैंफिर भी इच्छाओं की गठरी अन्तर्ध्वनियों पर भारी है।,https://kavitakosh.org/kk/%E0%A4%85%E0%A4%AD%E0%A4%BF%E0%A4%B2%E0%A4%BE%E0%A4%B7%E0%A4%BE%E0%A4%93%E0%A4%82_%E0%A4%95%E0%A5%87_%E0%A4%A6%E0%A4%BF%E0%A4%B5%E0%A4%BE%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%AA%E0%A5%8D%E0%A4%A8_/_%E0%A4%85%E0%A4%82%E0%A4%95%E0%A4%BF%E0%A4%A4_%E0%A4%95%E0%A4%BE%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%82%E0%A4%B6
अंकित काव्यांश,मन की मनमानी में / अंकित काव्यांश,"तन नौका मेंसवार मन की मनमानी में।स्वप्न हो गये नाविक जीवन के पानी में।मन कभीसुझाता है डूब जाऐं भँवरों मेंकहता है गहराई में मोती पाना है।या कभीसुझाता है पार चलें जल्दी सेरेत के धरातल पर रेत को बिछाना है।रेतीले तट परजो मोती लुटवाता है,ऐसा क्या होगा उस सीप की कहानी में?दुखवाहीधारा में सुखवाही कछुए सेपानी के पार मिलो बस इतना कहते हैं।अक्सर यहदेखा है बेकाबू लहरों मेंबड़े बड़े नाविक भी कितना कुछ सहते हैं!काल-मछेरा आएगा किसी बहाने सेटूटी पतवार लिए जाएगा निशानी में।",https://kavitakosh.org/kk/%E0%A4%AE%E0%A4%A8_%E0%A4%95%E0%A5%80_%E0%A4%AE%E0%A4%A8%E0%A4%AE%E0%A4%BE%E0%A4%A8%E0%A5%80_%E0%A4%AE%E0%A5%87%E0%A4%82_/_%E0%A4%85%E0%A4%82%E0%A4%95%E0%A4%BF%E0%A4%A4_%E0%A4%95%E0%A4%BE%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%82%E0%A4%B6
अंकित काव्यांश,सब पतंगे उड़ गए / अंकित काव्यांश,दीपबेचारा बुझा क्यासब पतंगे उड़ गए।अब अँधेरे केनगर में बातियों की अस्थियाँताकती हैं जल-कलश को निज विसर्जन के लिए।स्नेह साराचुक गया था मूर्तियों के सामनेप्रार्थना में तन हवन है अब समर्पण के लिए।ज्योंउठा हल्का धुंआ क्या!लोग घर को मुड़ गए।एक कोरीपुस्तिका में पृष्ठ मिट्टी के टँकेदे गया जीवन-नियंता साँस के बाज़ार में।जिस किसी कीउम्र दुःख की बारिशों में ही ढ़लेवह बताओ क्या भला लिख पाएगा संसार में!अश्रु-स्याहीसे लिखा क्या!पृष्ठ सब तुड़-मुड़ गए।दीप हो याव्यक्ति हो अभिव्यक्ति हो रौशन सदाहर प्रकाशित पुंज का बुझना नियत है सृष्टि में।स्वार्थों कीआँधियों में लौ भले मद्धिम पड़ेकिन्तु जलकर पथ सजाना है सभी की दृष्टि में।दृष्टि मेंदर्शन मिला क्या!पंथ सारे जुड़ गए।,https://kavitakosh.org/kk/%E0%A4%B8%E0%A4%AC_%E0%A4%AA%E0%A4%A4%E0%A4%82%E0%A4%97%E0%A5%87_%E0%A4%89%E0%A4%A1%E0%A4%BC_%E0%A4%97%E0%A4%8F_/_%E0%A4%85%E0%A4%82%E0%A4%95%E0%A4%BF%E0%A4%A4_%E0%A4%95%E0%A4%BE%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%82%E0%A4%B6
अंकित काव्यांश,द्वंद में रोया हुआ पंछी / अंकित काव्यांश,"डालियों केद्वंद में रोया हुआ पंछी,कोपलों के आगमन पर क्रुद्ध होता है।एक दिन था जबयही जंगल उसे अच्छा लगा था,एक दिन था जब यहाँ हर पल उसे अच्छा लगा था।एक दिन था जबउड़ानों का यही आधार था बस,तब हमेशा पंख पर बादल उसे अच्छा लगा था।बरगदों कीछाँह को ढोया हुआ पंछी,बादलों के स्याह तन पर क्रुद्ध होता है।राम जानेकिस दिशा से आ गयीं कैसी हवाएँ?स्वर्ण मृग की ओर झुकती ही गयीं सारी लताएँ।थक गया हैकंठ में प्रतिरोध भर-भरकर यहाँ वह,बहुत संभव है कि अब वह तोड़ दे सारी प्रथाएँ।चीखने मेंस्वर सभी खोया हुआ पंछी,कोयलों के हर वचन पर क्रुद्ध होता है।",https://kavitakosh.org/kk/%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A4%82%E0%A4%A6_%E0%A4%AE%E0%A5%87%E0%A4%82_%E0%A4%B0%E0%A5%8B%E0%A4%AF%E0%A4%BE_%E0%A4%B9%E0%A5%81%E0%A4%86_%E0%A4%AA%E0%A4%82%E0%A4%9B%E0%A5%80_/_%E0%A4%85%E0%A4%82%E0%A4%95%E0%A4%BF%E0%A4%A4_%E0%A4%95%E0%A4%BE%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%82%E0%A4%B6
अंकित काव्यांश,प्रतिरोधी सबका स्वर होगा / अंकित काव्यांश,प्रतिरोधीसबका स्वर होगा।सोचो कैसा मंज़र होगा!बहता नीरनदी का हूँ मैं तटबन्धों के संग क्यों बहूँ?सृष्टि नियामक एक तत्व हूँ मुझमें हलचल है मैं जल हूँ।मेरी गति हीजीवन गति है फिर भी इस गति पर पहरा है!नदियों! ध्वस्त करो सारे तट यह मंतव्य अभी उभरा है।आप सभी तोसमझदार हैं क्या यह उचित फ़ैसला होगा?अनुशासन के बिना धरा पर नदियाँ नहीं ज़लज़ला होगा।सबकीआँखों में डर होगा।सोचो कैसा मंज़र होगा!मुझसे ऊँचाकौन विश्व में मैं ऊँचाई का मानक हूँ।मैं ही चंदा की शीतलता मैं ही सूरज का आतप हूँ।मुझको अपनेविराट तन पर पंछी दल अनुचित लगते हैं।आओ सूरज का अग्नि-अंश चिड़ियों के ऊपर रखते हैं।आकाश अगरइस ज़िद पर है फिर किसका क्या उड़ान भरना!अब तो पेड़ों मुंडेरों पर कोयल का आहत स्वर सुनना।ख़तरा हरपंछी पर होगा।सोचो कैसा मंज़र होगा!,https://kavitakosh.org/kk/%E0%A4%AA%E0%A5%8D%E0%A4%B0%E0%A4%A4%E0%A4%BF%E0%A4%B0%E0%A5%8B%E0%A4%A7%E0%A5%80_%E0%A4%B8%E0%A4%AC%E0%A4%95%E0%A4%BE_%E0%A4%B8%E0%A5%8D%E0%A4%B5%E0%A4%B0_%E0%A4%B9%E0%A5%8B%E0%A4%97%E0%A4%BE_/_%E0%A4%85%E0%A4%82%E0%A4%95%E0%A4%BF%E0%A4%A4_%E0%A4%95%E0%A4%BE%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%82%E0%A4%B6
अंकित काव्यांश,कितने वचन लौट जाएँगे / अंकित काव्यांश,"होंठों तक आआकर जाने कितने वचन लौट जाएँगे!कितना मुश्किलदुविधाओं के पहरे से बचकर आ पाना,कितना मुश्किलमजबूरी की देहरी लाँघ निकल कर आना।कितना मुश्किलहँसते रहने का वादा कर रोते रहना,कितना मुश्किलदो पाँवों पर इक भारी मन ढोते रहना।इतनीमुश्किल सहकर जाने कितने चरण लौट जाएँगे!मन माटीजैसा ही रखना कोई चाहे कुछ भी बो ले।इतनी आँचन देना मौला मन माटी से पत्थर हो ले।जिस मंदिरका देव स्वयं ही शापित जीवन जीता होगा।वहाँ याचनाओंका हर घट या खण्डित या रीता होगा।वहाँ तिरस्कृतहोकर जाने कितने भजन लौट जाएँगे!",https://kavitakosh.org/kk/%E0%A4%95%E0%A4%BF%E0%A4%A4%E0%A4%A8%E0%A5%87_%E0%A4%B5%E0%A4%9A%E0%A4%A8_%E0%A4%B2%E0%A5%8C%E0%A4%9F_%E0%A4%9C%E0%A4%BE%E0%A4%8F%E0%A4%81%E0%A4%97%E0%A5%87_/_%E0%A4%85%E0%A4%82%E0%A4%95%E0%A4%BF%E0%A4%A4_%E0%A4%95%E0%A4%BE%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%82%E0%A4%B6
अंकित काव्यांश,तुम हमारे द्वार पर / अंकित काव्यांश,"तुम हमारे द्वार पर दीवा जलाना चाहते हो,बात अच्छी है, मगरउस दीप की बाती हमारे रक्त से ही क्यों सनी है!कहीं ऐसा तोनहीं पहले अँधेरा भेजते हो,फिर सितारों की दलाली कर उजाला बेचते हो।क़ैद-ख़ाने मेंपड़ा सूरज रिहाई माँगता हो,या सकल आकाश आँगन में तुम्हारे नाचता हो।कहीं ऐसा तो नही तुम स्वर्ग पाना चाहते हो,बात अच्छी है, मगरउस स्वर्ग की सीढ़ी हमारी अस्थियों से क्यों बनी है!क्या पता हमरात भर उत्सव मनाने में जगें फिर,ठीक अगली भोर अपनी नींद पाने में जगें फिर।छाँव का व्यापारहोने लग गया तो क्या करेंगे,और कब तक हम उनींदे नयन में आँसू भरेंगे।तुम मुनादी पीटकर हमको जगाना चाहते हो,बात अच्छी है, मगरअब उस नगाड़े पर हमारी खाल मढ़कर क्यों तनी है!",https://kavitakosh.org/kk/%E0%A4%A4%E0%A5%81%E0%A4%AE_%E0%A4%B9%E0%A4%AE%E0%A4%BE%E0%A4%B0%E0%A5%87_%E0%A4%A6%E0%A5%8D%E0%A4%B5%E0%A4%BE%E0%A4%B0_%E0%A4%AA%E0%A4%B0_/_%E0%A4%85%E0%A4%82%E0%A4%95%E0%A4%BF%E0%A4%A4_%E0%A4%95%E0%A4%BE%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%82%E0%A4%B6
अंकित काव्यांश,जन्म क्या है / अंकित काव्यांश,"जन्म क्या है! बसनदी का बर्फ़ में रूपांतरण,और जीवन आयु की तपती शिलाओं का वरण।कुछ उजालेज़िन्दगी में इंद्रधनुषी रंग लाते,कुछ अंधेरे सिसकती रोती निगाहों में समाते,संतुलन के लिएही मन की तुला पर बोझ सहते,यह समय की जय-पराजय है जिसे कुछ लोग कहतेभाग्य या दुर्भाग्य का प्रारम्भ या अंतिम चरण।जन्म क्या है! बस नदी का बर्फ़ में रूपांतरण।फिर वहीजंगल मिला है किन्तु पथ फिर ढूँढना है।इस जनम भी पार जाने की तड़प में भटकना है।अनुभवी पँछीबताता यह कि जंगल तैरता हैकामना के द्वीप से जीवन पिघलकर निकलता है।कुल मिलाकर बर्फ़ का फिर से नदी होना मरण।जन्म क्या है! बस नदी का बर्फ़ रूपांतरण।",https://kavitakosh.org/kk/%E0%A4%9C%E0%A4%A8%E0%A5%8D%E0%A4%AE_%E0%A4%95%E0%A5%8D%E0%A4%AF%E0%A4%BE_%E0%A4%B9%E0%A5%88_/_%E0%A4%85%E0%A4%82%E0%A4%95%E0%A4%BF%E0%A4%A4_%E0%A4%95%E0%A4%BE%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%82%E0%A4%B6
अंकित काव्यांश,दिखा नही मेले में मुझको / अंकित काव्यांश,"ऐसा कुछ भीदिखा नही मेले में मुझकोबहुत समय तक जिसके पास ठहर जाऊँ मैं।रंग बिरंगे दृश्य चतुर्दिक् पाँव पसारेमुझको बाँहों में भर लेने को इच्छुक थे।मूल्य गिरा सकने की कला अगर होती तोसुविधाओं के ठाटबाट मेरे सम्मुख थे।तोल-मोल मेंमाहिर व्यापारी थे सारेसोचा ख़ाली हाथ लिए ही घर जाऊँ मैं।रामकथा का मंचन करती हुई मण्डलीदूर गोलबंदी करने में जुटा मदारी।मुझे आगमन से लेकर प्रस्थान बिंदु तकया तो अभिनय दिखा, दिखी या फिर लाचारी।करतब जादूखेल-तमाशा देख लिया सबखड़ा भीड़ में उलझन लिए, किधर जाऊँ मैं!जाते जाते सोचा चलो पूछ लेता हूँशायद कोई हो जो उससे मिलकर आया।चकाचौंध में डूबा हुआ एक भी मानुषअक्षय आकर्षण का पता नहीं दे पाया।अपनी पूँजीभर का झूल चुका हूँ झूलाऊब गया हूँ, मन कर रहा उतर जाऊँ मैं।",https://kavitakosh.org/kk/%E0%A4%A6%E0%A4%BF%E0%A4%96%E0%A4%BE_%E0%A4%A8%E0%A4%B9%E0%A5%80_%E0%A4%AE%E0%A5%87%E0%A4%B2%E0%A5%87_%E0%A4%AE%E0%A5%87%E0%A4%82_%E0%A4%AE%E0%A5%81%E0%A4%9D%E0%A4%95%E0%A5%8B_/_%E0%A4%85%E0%A4%82%E0%A4%95%E0%A4%BF%E0%A4%A4_%E0%A4%95%E0%A4%BE%E0%A4%B5%E0%A5%8D%E0%A4%AF%E0%A4%BE%E0%A4%82%E0%A4%B6
